requirement_id,category,description,status,evidence_file,test_file,notes
REQ-015,Migration,Migration failure leaves original state intact,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (transaction rollback on exception),,transaction rollback exists but no migration uses it
REQ-016,Migration,Supports migration from previous stable version,IMPLEMENTED_UNVERIFIED,,,No versioned migration path exists
REQ-017,Migration,Old plugin version is explicitly BLOCKED (not silently broken),IMPLEMENTED_UNVERIFIED,,,No version compatibility check at startup
REQ-018,Migration,Post-migration integrity check runs automatically,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/recovery.py (RecoveryManager.recover),,RecoveryManager verifies RUNNING tasks but does not run integrity checks after migration
REQ-019,Backup/Restore,reproctl backup command creates point-in-time snapshot,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (export_snapshots lines 450-471),,export_snapshots creates JSON/YAML/CSV snapshots but no reproctl backup command; snapshots are internal to controller exit
REQ-020,Backup/Restore,reproctl restore --snapshot <id> restores from backup,IMPLEMENTED_UNVERIFIED,scripts/startup/recovery.py (run() falls back to last_valid checkpoint),,startup/recovery.py has checkpoint-based resume but no named snapshot restore
REQ-021,Backup/Restore,Backup verifies content integrity (hash check),IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (_atomic_write with fsync),,Atomic write ensures durability but no hash verification of backup content
REQ-022,Backup/Restore,Backup does not copy large raw data (stores path+hash only),IMPLEMENTED_UNVERIFIED,,,No backup strategy that references data by path+hash instead of copying
REQ-023,Backup/Restore,Backup metadata records data paths, versions, hashes,IMPLEMENTED_UNVERIFIED,,,No backup metadata recording mechanism
REQ-024,Backup/Restore,Backup generates a manifest file (backup_manifest.json),IMPLEMENTED_UNVERIFIED,,,No backup manifest generation
REQ-025,Backup/Restore,restore verifies backup integrity before applying,IMPLEMENTED_UNVERIFIED,scripts/startup/recovery.py (fallback to last_valid checkpoint),,Partial: corrupt execution_state.json triggers fallback; no explicit integrity verification
REQ-026,Backup/Restore,Backup retention policy (keep last N / days),IMPLEMENTED_UNVERIFIED,,,No backup retention policy enforcement
REQ-027,Integrity,reproctl integrity-check command runs all integrity checks,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/recovery.py (RecoveryManager.recover),,RecoveryManager checks for orphaned RUNNING tasks and missing checkpoints but no reproctl integrity-check command
REQ-028,Integrity,SQLite integrity_check pragma,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (_connect lines 55-62),,No explicit PRAGMA integrity_check call; _connect sets journal_mode=WAL and synchronous=FULL but no integrity verification
REQ-029,Integrity,State file schema validation against schema.json,IMPLEMENTED_UNVERIFIED,,,No schema validation of state files; schemas/ directory does not exist
REQ-030,Integrity,Plan hash verification (detect plan drift),PARTIAL,scripts/startup/recovery.py (line 24 comment mentions plan_hash check),,startup/recovery.py comment says "verify plan_hash matches plan file" but no implementation; state_store.initialize_plan stores plan_path but not hash
REQ-031,Integrity,Checkpoint hash verification,IMPLEMENTED_UNVERIFIED,,,No checkpoint hash tracking or verification
REQ-032,Integrity,Log truncation detection (detect incomplete log entries),IMPLEMENTED_UNVERIFIED,scripts/orchestrator/event_journal.py (lines 36-38),,event_journal.read() detects corrupt JSON on last line but no log truncation detection in task logs
REQ-033,Integrity,Orphan RUNNING task detection (stale tasks),IMPLEMENTED_VERIFIED,scripts/orchestrator/recovery.py (lines 20-34),,RecoveryManager.recover() lists orphaned tasks in summary['missing_checkpoint']; RecoveryManager imported in controller.py line 19 and called at controller.run() line 92
REQ-034,Atomic Writes,WAL + synchronous=FULL enabled in SQLite,IMPLEMENTED_VERIFIED,scripts/orchestrator/state_store.py (lines 59-60),,PRAGMA journal_mode=WAL and PRAGMA synchronous=FULL set in _connect()
REQ-035,Atomic Writes,JSON/YAML written via temp file + atomic rename,IMPLEMENTED_VERIFIED,scripts/orchestrator/state_store.py (_atomic_write lines 473-480),,_atomic_write uses tmp.suffix+".tmp" pattern with fsync before os.replace; save_state in reproctl.py line 219-222 also uses tmp.replace
REQ-036,Atomic Writes,Checkpoints do not directly overwrite last valid version,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (_atomic_write),,export_snapshots writes to state.snapshot.json (new file each export) not overwriting; no explicit checkpoint rotation
REQ-037,Atomic Writes,Crash recovery identifies temporary files on startup,IMPLEMENTED_UNVERIFIED,,,No explicit cleanup of orphan .tmp files on startup; event_journal.read() handles torn writes but no systematic .tmp sweep
REQ-038,Atomic Writes,Corrupt temp files do not replace valid files,IMPLEMENTED_VERIFIED,scripts/orchestrator/event_journal.py (lines 36-38 handles torn write),,event_journal.read() stops at first corrupt line without discarding earlier valid lines; _atomic_write uses os.replace which is atomic on POSIX
REQ-039,Storage Governance,Retention configuration (raw_data / best_checkpoint / intermediate),IMPLEMENTED_UNVERIFIED,,,No retention configuration; no reproctl storage subcommand
REQ-040,Storage Governance,Disk policy (warning / stop / emergency free GB thresholds),IMPLEMENTED_UNVERIFIED,,,No disk policy enforcement; watchdog.py has no disk space check
REQ-041,Storage Governance,Log rotation policy,IMPLEMENTED_UNVERIFIED,,,No log rotation; no reproctl log-cleanup command
REQ-042,Storage Governance,Checkpoint cleanup generates manifest before deleting files,IMPLEMENTED_UNVERIFIED,,,No checkpoint cleanup with pre-deletion manifest
REQ-043,Storage Governance,Disk full safety stop (training stops gracefully),IMPLEMENTED_UNVERIFIED,,,No disk-space monitoring; no graceful stop on disk full
REQ-044,Storage Governance,No uncontrolled wildcard delete,IMPLEMENTED_UNVERIFIED,,,No storage cleanup code exists to check for wildcard patterns
REQ-045,Storage Governance,Cache cleanup only deletes explicitly marked cache files,IMPLEMENTED_UNVERIFIED,,,No cache management system
REQ-046,Schema Validation,config.schema.json exists and validates repro.yaml/repro.config.yaml,IMPLEMENTED_UNVERIFIED,,,schemas/ directory does not exist; config.py has no JSON schema validation
REQ-047,Schema Validation,plan.schema.json exists and validates plan YAML,IMPLEMENTED_UNVERIFIED,,,schemas/ directory does not exist; controller.load_plan() has no schema validation
REQ-048,Schema Validation,task.schema.json exists and validates task definitions,IMPLEMENTED_UNVERIFIED,scripts/orchestrator/state_store.py (_validate_task lines 223-231),,tasks validated via _validate_task but no JSON Schema; no task.schema.json
REQ-049,Schema Validation,state.schema.json exists and validates state.sqlite3 structure,IMPLEMENTED_UNVERIFIED,,,schemas/ directory does not exist; no state schema validation
REQ-050,Schema Validation,adapter.schema.json exists and validates adapter configs,IMPLEMENTED_UNVERIFIED,,,schemas/ directory does not exist; no adapter schema
REQ-051,Schema Validation,run_manifest.schema.json exists,IMPLEMENTED_UNVERIFIED,,,schemas/ directory does not exist; no run manifest schema
REQ-052,Schema Validation,reproctl validate-config / validate-state commands,IMPLEMENTED_UNVERIFIED,,,No validate-config or validate-state commands in reproctl.py or startup/cli.py
REQ-053,Secrets & Permissions,Permission levels defined (read-only / operator / admin),IMPLEMENTED_UNVERIFIED,,,No permission system; reproctl.py and orchestrator/cli.py have no permission checks
REQ-054,Secrets & Permissions,Default deny permission policy,IMPLEMENTED_UNVERIFIED,,,No permission policy
REQ-055,Secrets & Permissions,Token / Cookie / SSH / API Key detection patterns defined,IMPLEMENTED_VERIFIED,scripts/startup/secrets_redactor.py (lines 15-30, _PATTERNS tuple),,secrets_redactor.py defines regex patterns for Authorization, Cookie, Bearer tokens, api_key, password, secret_key, etc.
REQ-056,Secrets & Permissions,Secrets are redacted from logs,IMPLEMENTED_VERIFIED,scripts/startup/secrets_redactor.py (redact function lines 35-42, scrub_env lines 57-72, scrub_dict lines 75-87),,secrets_redactor.py fully implemented with redact/scrub_env/scrub_dict; imported by startup/cli.py
REQ-057,Secrets & Permissions,Secrets not written to Plan / task graph / error reports,IMPLEMENTED_UNVERIFIED,,,No mechanism to prevent secrets from being written to plan files; task graph contains command strings which could include secrets
REQ-058,Secrets & Permissions,Least-privilege policy enforced,IMPLEMENTED_UNVERIFIED,,,No privilege enforcement; no capability-based access
REQ-059,Events & Monitoring,reproctl status / watch / events commands,IMPLEMENTED_VERIFIED,scripts/orchestrator/cli.py (cmd_status lines 104-108, cmd_events lines 111-116),,orchestrator/cli.py: cmd_status calls store.status_summary(), cmd_events returns event stream; reproctl.py: cmd_status shows gate status; startup/cli.py has status command
REQ-060,Events & Monitoring,Critical event types fully enumerated (TASK_CREATED, TASK_TRANSITION, TASK_CLAIMED, TASK_RECOVERED, PROCESS_STARTED, WATCHDOG_TIMEOUT, CONTROL_STATE, APPROVAL_REQUESTED, APPROVAL_APPROVED, APPROVAL_REJECTED, PLAN_LOADED, POLICY_DECISION, SCHEDULER_BLOCKED, RECOVERY_COMPLETE, CONTROLLER_EXIT),IMPLEMENTED_VERIFIED,scripts/orchestrator/state_store.py (_event_tx lines 118-132),scripts/orchestrator/controller.py,scripts/orchestrator/recovery.py,Event types defined in code: TASK_CREATED, TASK_TRANSITION, TASK_CLAIMED, PROCESS_STARTED, WATCHDOG_TIMEOUT, CONTROL_STATE, APPROVAL_REQUESTED, TASK_RECOVERED, POLICY_DECISION, SCHEDULER_BLOCKED, RECOVERY_COMPLETE, CONTROLLER_EXIT, ACCEPTANCE_RESULT, VERIFICATION_PASS, TASK_RETRY_SCHEDULED, TASK_POLICY_REJECTED, TASK_DAEMON_STOPPED; but no formal event type registry
REQ-061,Events & Monitoring,Events include event_id / timestamp / project_id / run_id / task_id / severity / message / evidence_path,PARTIAL,scripts/orchestrator/state_store.py (_event_tx lines 120-132, events table lines 100-103),,events table has seq, timestamp, event_type, task_id, payload_json; lacks event_id, project_id, run_id, severity, evidence_path fields
REQ-062,Events & Monitoring,Append-only journal does not modify history,IMPLEMENTED_VERIFIED,scripts/orchestrator/event_journal.py (append-only write lines 18-23),,event_journal.append() opens file in append mode with fsync; read() never modifies; repair_from() only adds missing events
REQ-063,Events & Monitoring,Event filtering and aggregation (by type, task_id, time range, severity),IMPLEMENTED_UNVERIFIED,scripts/orchestrator/cli.py (cmd_events --after-seq --limit),,cmd_events supports limit and after_seq filtering; no severity, type, or time-range filters
REQ-064,Events & Monitoring,Event severity levels (DEBUG/INFO/WARN/ERROR/CRITICAL),IMPLEMENTED_UNVERIFIED,,,events have event_type string but no severity field
REQ-065,Events & Monitoring,Event persistence survives controller crash,IMPLEMENTED_VERIFIED,scripts/orchestrator/event_journal.py (EventJournal),,EventJournal is separate from controller process; journal.repair_from() repairs from SQLite after crash
REQ-066,Golden Projects,Golden project A: minimal PyTorch fixture (MNIST-like, <1MB),MISSING,,,.stabilization/stabilization_state.json exists but no goldens/ directory
REQ-067,Golden Projects,Golden project B: point cloud fixture (PointNet/PointNet++ minimal),MISSING,,,.stabilization/stabilization_state.json exists but no goldens/ directory
REQ-068,Golden Projects,Golden project C: real paper reproduction fixture (full pipeline),MISSING,,,.stabilization/stabilization_state.json exists but no goldens/ directory
REQ-069,Golden Projects,Expected state sequence for each golden project (init -> run -> pass/fail),MISSING,,,No golden project state sequences
REQ-070,Golden Projects,Expected event sequence for each golden project,MISSING,,,No golden project event sequences
REQ-071,Chaos Tests,kill -9 recovery (process hard-killed, state survives),MISSING,,,No chaos test suite
REQ-072,Chaos Tests,OOM detection and recovery (out-of-memory, graceful stop),MISSING,,,No OOM chaos test; watchdog.py checks timeout but not memory
REQ-073,Chaos Tests,checkpoint corruption detection (checkpoint hash mismatch),MISSING,,,No checkpoint corruption detection; RecoveryManager checks checkpoint exists but not integrity
REQ-074,Chaos Tests,log truncation detection (incomplete log file after crash),MISSING,,,No log truncation chaos test; event_journal detects JSON corruption but task logs not checked
REQ-075,Chaos Tests,disk full safety stop (training stops gracefully on ENOSPC),MISSING,,,No disk full chaos test
REQ-076,Chaos Tests,false completion rejection (task marked complete without evidence),MISSING,,,No false completion detection; only acceptance_tests define PASS criteria
