requirement_id,source,requirement,mandatory,task_ids,implementation_files,test_ids,evidence_files,status,reviewer,notes
R_P11_06,plan L1688-L1695,Phase 11: repro-decision 双决策,YES,P11_T06,commands/repro-decision.md,,.execution/evidence/P11_T06_diff.txt,PENDING,execute-next,
R_P11_07,plan L1697-L1706,Phase 11: /repro-evidence-chain,YES,P11_T07,commands/repro-evidence-chain.md,,.execution/evidence/P11_T07_command.md,PENDING,execute-next,
R_P11_08,plan L1708,Phase 11: plugin.json 注册新命令,YES,P11_T08,.cursor-plugin/plugin.json,,.execution/evidence/P11_T08_plugin_diff.json,PENDING,execute-next,
R_P12_01,plan L1711-L1800,Phase 12: repro_report_skeleton 10 节,YES,P12_T01,templates/repro_report_skeleton.md,,.execution/evidence/P12_T01_template.md,PENDING,execute-next,来自 t4 学习
R_P12_02,plan L1711-L1800,Phase 12: data_card.md 模板,YES,P12_T02,templates/data_card.md,,.execution/evidence/P12_T02_template.md,PENDING,execute-next,
R_P12_03,plan L1711-L1800,Phase 12: environment_card.md 模板,YES,P12_T03,templates/environment_card.md,,.execution/evidence/P12_T03_template.md,PENDING,execute-next,
R_P12_04,plan L1711-L1800,Phase 12: failure_case_report.md,YES,P12_T04,templates/failure_case_report.md,,.execution/evidence/P12_T04_template.md,PENDING,execute-next,
R_P12_05,plan L1711-L1800,Phase 12: parameter_table.md,YES,P12_T05,templates/parameter_table.md,,.execution/evidence/P12_T05_template.md,PENDING,execute-next,
R_P12_06,plan L1711-L1800,Phase 12: project_structure.md 8 类,YES,P12_T06,templates/project_structure.md,,.execution/evidence/P12_T06_template.md,PENDING,execute-next,
R_P12_07,plan L1773-L1777,Phase 12: /repro-report 命令,YES,P12_T07,commands/repro-report.md,,.execution/evidence/P12_T07_command.md,PENDING,execute-next,
R_P12_08,plan L1779-L1783,Phase 12: /repro-card 命令,YES,P12_T08,commands/repro-card.md,,.execution/evidence/P12_T08_command.md,PENDING,execute-next,
R_P12_09,plan L1785-L1789,Phase 12: /repro-failure 命令,YES,P12_T09,commands/repro-failure.md,,.execution/evidence/P12_T09_command.md,PENDING,execute-next,
R_P12_10,plan L1791-L1799,Phase 12: paper-reproduction 4 教训,YES,P12_T10,skills/paper-reproduction/SKILL.md,,.execution/evidence/P12_T10_diff.txt,PENDING,execute-next,
R_RISK_01,plan L1803-L1812,回滚方案: 不得删除旧 state 字段,YES,P1_T01,scripts/reproctl.py,,.execution/evidence/R_RISK_01_check.log,PENDING,execute-next,schema 兼容
R_RISK_02,plan L1803-L1812,禁止 .claude/ 路径,YES,P7_T03 .cursor-plugin/plugin.json,,.execution/evidence/R_RISK_02_check.log,PENDING,execute-next,Cursor 路径
R_RISK_03,plan L1803-L1812,禁止密钥写入,YES,所有,所有新文件,,.execution/evidence/R_RISK_03_grep.log,PENDING,execute-next,grep 验证
R_GATE_01,plan L1395-L1400,Gate 0-5 强制: Gate 0 必须完成才能 Gate 1,YES,P1_T01 P1_T04,scripts/reproctl.py commands/repro-launch.md,,.execution/evidence/R_GATE_01_test.log,PENDING,execute-next,长训练门控
R_REPRO_01,plan L658-L657,N.4 状态机 candidate→quarantined→audited→extracted→tested→approved→released,YES,P11_T01 P11_T02,templates/project_memory.md agents/repro-lead.md,,.execution/evidence/R_REPRO_01_state_machine_test.log,PENDING,execute-next,核心状态机
R_REPRO_02,plan L645-L656,N.3 最高原则 10 条强制,YES,P11_T03,scripts/reproctl.py,,.execution/evidence/R_REPRO_02_principles_test.log,PENDING,execute-next,10 条强制
R_EVIDENCE_01,plan L757-L779,N.8 证据链要求 16 项,YES,P11_T07,commands/repro-evidence-chain.md,,.execution/evidence/R_EVIDENCE_01_chain_test.log,PENDING,execute-next,16 项证据
