file,line_or_element,english_text,translated_text,should_be_english,reason_if_english,status
index.html,code,AMP,AMP,Y,技术术语保持英文,OK
index.html,code,DDP,DDP,Y,技术术语保持英文,OK
app.js,textContent,No results found,无结果,N/A,,OK
app.js,textContent,Copied!,已复制!,N/A,,OK
app.js,textContent,Copy,复制,N/A,,OK
app.js,textContent,Failed,失败,N/A,,OK
app.js,aria-label,Switch to light mode,切换到浅色模式,N/A,,OK
app.js,aria-label,Switch to dark mode,切换到深色模式,N/A,,OK
app.js,aria-label,Link to section,链接到章节,N/A,,OK
app.js,default,Untitled,无标题,N/A,,OK
app.js,default,Documentation,文档,N/A,,OK
app.js,default,PAGE,页面,N/A,,OK
